index,label
0,100만원
1,10만원
2,10번째
3,12번째
4,3.1절
5,38선
6,8번째
7,9번째
8,LA
9,가깝다
10,가래떡
11,가렵다
12,가루약
13,가르다
14,가만히
15,가명
16,가발
17,가쁘다
18,가소롭다
19,가수
20,가시나무
21,가엾다
22,가위바위보
23,가정교육
24,가족
25,가족회의
26,가죽신
27,가짜
28,가평군수어통역센터
29,가평군주민지원센터
30,가평군지부
31,각오
32,간
33,간단하다
34,간편
35,간호사
36,갈등
37,감금
38,감기
39,감나무
40,감동
41,감사
42,감염병
43,감옥살이
44,감히
45,갑부
46,갑절
47,값비싸다
48,강
49,강남
50,강남구수어통역센터
51,강남구지부
52,강남구청
53,강남대학교
54,강동구수어통역센터
55,강동구주민지원센터
56,강동구지부
57,강릉
58,강릉시수어통역센터
59,강릉시지부
60,강릉시청
61,강물
62,강북
63,강북구수어통역센터
64,강북구주민지원센터
65,강북구지부
66,강서
67,강서구수어통역센터
68,강서구주민지원센터
69,강서구지부
70,강아지
71,강약
72,강원도
73,강원도농아인협회
74,강원도청
75,강진군수어통역센터
76,강진군주민지원센터
77,강진군지부
78,강철
79,강풍
80,강화군수어통역센터
81,강화군주민지원센터
82,강화군지부
83,개똥
84,개명
85,개입하지않는다
86,개학
87,거목
88,거북선
89,거슬리다
90,거역
91,거저먹다
92,거절
93,거제시수화통역센터
94,거제시지부
95,거제시청
96,거창군수화통역센터
97,거창군주민지원센터
98,거창군지부
99,걱정
100,건강
101,건달
102,건성
103,건성건성
104,건장
105,걸스카우트
106,걸음걸이
107,걸핏하면
108,검술
109,검정
110,검정머리
111,겉멋
112,겉모습
113,게으르다
114,겨드랑이
115,견문
116,견습소
117,견제하다
118,결벽
119,결사
120,결코
121,결합을끊다
122,결혼
123,결혼식
124,겸손
125,겹치다
126,경고
127,경과실
128,경기농아인협회
129,경기도
130,경기도청
131,경남
132,경남도청
133,경로당
134,경북
135,경북농아인협회
136,경북도청
137,경비
138,경비실
139,경산시수어통역센터
140,경산시지부
141,경산시청
142,경주
143,경주시지부
144,경찰서
145,경찰청장
146,경찰행정
147,계기
148,계약금
149,계획
150,계획적
151,고급지다
152,고깃국
153,고등학교
154,고등학생
155,고려대학교
156,고령군수어통역센터
157,고령군주민지원센터
158,고령군지부
159,고리타분
160,고모
161,고민
162,고백
163,고성군수화통역센터
164,고성군주민지원센터
165,고성군지부
166,고성시수어통역센터
167,고성지부
168,고소
169,고속터미널
170,고수입
171,고아원
172,고양
173,고양시수어통역센터
174,고양시지부
175,고양시청
176,고용
177,고인
178,고조할아버지
179,고질적
180,고집
181,고창군수어통역센터
182,고창군주민지원센터
183,고창군지부
184,고추
185,고추가루
186,고춧잎
187,고흥군수어통역센터
188,고흥군주민지원센터
189,고흥군지부
190,곡성군수어통역센터
191,곡성군주민지원센터
192,곡성군지부
193,골절
194,골짜기
195,골키퍼
196,곰방대
197,공개
198,공교롭다
199,공군
200,공군본부
201,공문
202,공석
203,공식발표
204,공주시수어통역센터
205,공주시지부
206,공주시청
207,공증
208,공항
209,공항시장
210,공휴일
211,과로
212,과시
213,과용
214,과음
215,과장
216,과천
217,과천시수어통역센터
218,과천시지부
219,과천시청
220,과태료
221,관계
222,관계없다
223,관광
224,관광버스
225,관습
226,관악
227,관악구수어통역센터
228,관악구주민지원센터
229,관악구지부
230,광기
231,광명
232,광명시수어통역센터
233,광명시지부
234,광명시청
235,광산구수어통역센터
236,광산구주민지원센터
237,광산구지부
238,광양군수어통역센터
239,광양군주민지원센터
240,광양군지부
241,광업
242,광주
243,광주광역시농아인협회
244,광주광역시청
245,광주시수어통역센터
246,광주시지부
247,광주시청
248,광진구수어통역센터
249,광진구주민지원센터
250,광진구지부
251,광화문
252,괜찮다
253,괴롭다
254,괴롭히다
255,괴산군수어통역센터
256,괴산군주민지원센터
257,괴산군지부
258,괴팍하다
259,교가
260,교기
261,교명
262,교모
263,교무실
264,교사직무
265,교섭
266,교수
267,교실
268,교육과정
269,교육자
270,교육청
271,교장
272,교제
273,교탁
274,교통기본교육
275,교통법교육
276,교통안전교육
277,구
278,구걸
279,구경
280,구급차
281,구두
282,구두액
283,구렁이
284,구로구수어통역센터
285,구로구주민지원센터
286,구로구지부
287,구리
288,구리시수어통역센터
289,구리시지부
290,구리시청
291,구만
292,구만오천
293,구미시수어통역센터
294,구미시지부
295,구미시청
296,구백
297,구백만
298,구백억
299,구백오십
300,구백오십만
301,구분
302,구십
303,구십구
304,구십만
305,구십사
306,구십삼
307,구십억
308,구십오
309,구십오만
310,구십오억
311,구십육
312,구십이
313,구십일
314,구십칠
315,구십팔
316,구억
317,구억오천만
318,구인
319,구직
320,구천
321,구천만
322,구천오백
323,구천오백만
324,구화
325,국그릇
326,국기
327,국어학
328,국왕
329,군가
330,군마
331,군복
332,군비행장
333,군사혁명
334,군산
335,군산시수어통역센터
336,군산시지부
337,군산시청
338,군위군수어통역센터
339,군위군지부
340,군위주민지원센터
341,군책
342,군포
343,군포시수어통역센터
344,군포시지부
345,군포시청
346,궁리
347,궁지
348,궁핍하다
349,궁하다
350,권력
351,권투
352,귀
353,귀부인
354,귀중품
355,그날
356,그렇다
357,그립다
358,근무
359,글
360,금산
361,금시초문
362,금식
363,금연
364,금요일
365,금욕
366,금정구수어통역센터
367,금정구주민지원센터
368,금정구지부
369,금주
370,금천
371,금천구수어통역센터
372,금천구지부
373,금천구청
374,급행
375,긍정적
376,기대
377,기대다
378,기름
379,기린
380,기막히다
381,기민하다
382,기발
383,기분
384,기세등등
385,기술
386,기술자
387,기억
388,기절초풍
389,기지
390,기차
391,기차역
392,기초체조
393,기초확인
394,기혼
395,기회주의
396,긴가민가
397,길몽
398,길운
399,길일
400,김제시수어통역센터
401,김제시지부
402,김제시청
403,김천시수어통역센터
404,김천시지부
405,김포
406,김포시수어통역센터
407,김포시지부
408,김포시청
409,김해시수화통역센터
410,김해시지부
411,김해시청
412,깃털
413,까다롭다
414,까마귀
415,까치산
416,깎다
417,깜깜하다
418,깜빡하다
419,깨끗하다
420,깨물다
421,꼬마
422,꼴사납다
423,꽃씨
424,꽃잎
425,꽈베기
426,꿀물
427,꿀벌
428,꿇다
429,꿈
430,끊다
431,나
432,나누다
433,나무기둥
434,나빠지다
435,나쁘다
436,나사렛대학교
437,나이
438,나주시수어통역센터
439,나주시지부
440,나주시청
441,낙인
442,낙제
443,낚시
444,낚시대
445,낚시터
446,날
447,날쎄다
448,날씬
449,남구수어통역센터
450,남구주민지원센터
451,남구지부
452,남대문시장
453,남매
454,남몰래
455,남부지방
456,남부터미널
457,남산
458,남성적
459,남아
460,남양주
461,남양주시수어통역센터
462,남양주시지부
463,남양주시청
464,남원
465,남원시수어통역센터
466,남원시지부
467,남원시청
468,남편
469,남해군수화통역센터
470,남해군주민지원센터
471,남해군지부
472,낭패
473,낳다
474,내버려두다
475,내정
476,냄비
477,냄새
478,냄새맡다
479,냉커피
480,너
481,너그럽다
482,너희
483,넘기다
484,네덜란드
485,네명
486,네배
487,네번째
488,네쌍둥이
489,노고
490,노년기
491,노랑
492,노래
493,노량진
494,노르웨이
495,노부모
496,노원
497,노원구수어통역센터
498,노원구주민지원센터
499,노원구지부
500,노인
501,노화
502,녹초
503,논
504,논란
505,논산시수어통역센터
506,논산시지부
507,논산시청
508,논의
509,놀다
510,놀라다
511,놀리다
512,농부
513,농인
514,놓치다
515,누나
516,눈가림
517,눈썰미
518,눈썹
519,눕다
